,x_i,n,sum_1,sum_2
59,-4.100000000000021,28.000000000000000,-0.684805398902864,-0.684805398981553
60,-4.000000000000021,27.000000000000000,-0.747133849089295,-0.747133849057718
61,-3.900000000000021,26.000000000000000,-0.736957699842212,-0.736957699838968
62,-3.800000000000021,25.000000000000000,-0.661485835145158,-0.661485835138592
63,-3.700000000000021,24.000000000000000,-0.564079401272374,-0.564079401263371
64,-3.600000000000021,23.000000000000000,-0.496923489382201,-0.496923489382425
65,-3.500000000000021,22.000000000000000,-0.49330657318388,-0.493306573183872
66,-3.400000000000021,21.000000000000000,-0.553645162095687,-0.553645162094654
67,-3.300000000000021,20.000000000000000,-0.649250976245454,-0.649250976245071
68,-3.200000000000021,19.000000000000000,-0.738463311207721,-0.738463311207511
69,-3.100000000000021,18.000000000000000,-0.785491212779236,-0.785491212779334
70,-3.000000000000020,18.000000000000000,-0.773562526333734,-0.773562526333706
71,-2.900000000000020,17.000000000000000,-0.708468614999915,-0.708468614999958
72,-2.800000000000020,16.000000000000000,-0.613373687694293,-0.613373687694292
73,-2.700000000000020,15.000000000000000,-0.518771123221117,-0.518771123221136
74,-2.600000000000020,14.000000000000000,-0.452118543685099,-0.452118543685106
75,-2.500000000000020,14.000000000000000,-0.430517743212595,-0.430517743212592
76,-2.400000000000020,13.000000000000000,-0.457864213878521,-0.457864213878521
77,-2.300000000000020,12.000000000000000,-0.526113799960865,-0.526113799960864
78,-2.200000000000020,12.000000000000000,-0.619228498710882,-0.61922849871088
79,-2.100000000000020,11.000000000000000,-0.718066551901052,-0.718066551901052
80,-2.000000000000020,10.000000000000000,-0.804776485452936,-0.804776485452936
81,-1.900000000000019,10.000000000000000,-0.865836550223572,-0.865836550223573
82,-1.800000000000019,9.000000000000000,-0.893480671639326,-0.893480671639326
83,-1.700000000000019,8.000000000000000,-0.885702221207543,-0.885702221207543
84,-1.600000000000019,8.000000000000000,-0.845268969615281,-0.845268969615281
85,-1.500000000000019,7.000000000000000,-0.778237811286645,-0.778237811286645
86,-1.400000000000019,7.000000000000000,-0.692387109493674,-0.692387109493674
87,-1.300000000000019,6.000000000000000,-0.595852761669251,-0.595852761669251
88,-1.200000000000019,6.000000000000000,-0.496115787672603,-0.496115787672603
89,-1.100000000000019,5.000000000000000,-0.399375724963286,-0.399375724963286
90,-1.000000000000019,5.000000000000000,-0.310268302806696,-0.310268302806696
91,-0.900000000000019,5.000000000000000,-0.231847010036391,-0.231847010036391
92,-0.800000000000019,4.000000000000000,-0.165738057479372,-0.165738057479372
93,-0.700000000000019,4.000000000000000,-0.112387433616296,-0.112387433616296
94,-0.600000000000019,3.000000000000000,-0.071336234176838,-0.071336234176838
95,-0.500000000000019,3.000000000000000,-0.041481024671947,-0.041481024671947
96,-0.400000000000019,3.000000000000000,-0.021294355584557,-0.021294355584557
97,-0.300000000000019,2.000000000000000,-0.008994792857145,-0.008994792857145
98,-0.200000000000019,2.000000000000000,-0.002666361904763,-0.002666361904763
99,-0.100000000000019,1.000000000000000,-0.000333333333334,-0.000333333333334
100,-0.000000000000019,0.000000000000000,0.0,0.0
